Timestamp           ;Amp-R  ;Amp-S ;Amp-T ;Volt-R ;Volt-S ;Volt-T ;Power Factor ;Frequency ;Power Active ;Power Reactive ;Power Apparent ;Phase-R ;Phase-S ;Phase-T 
2026-05-01 17:00:00 ;1.090  ;1.020 ;1.060 ;58.840 ;59.320 ;59.380 ;-0.870       ;49.970    ;164.230      ;90.600         ;187.940        ;0.000   ;0.000   ;0.000   
2026-05-01 17:15:00 ;1.130  ;1.040 ;1.100 ;58.920 ;59.330 ;59.420 ;-0.890       ;50.000    ;171.850      ;88.390         ;193.670        ;0.000   ;0.000   ;0.000   
2026-05-01 17:30:00 ;1.180  ;1.120 ;1.160 ;58.840 ;59.240 ;59.380 ;-0.910       ;49.960    ;185.890      ;84.170         ;204.450        ;0.000   ;0.000   ;0.000   
2026-05-01 17:45:00 ;2.680  ;2.540 ;2.610 ;58.770 ;59.210 ;59.370 ;-0.940       ;49.990    ;415.320      ;79.820         ;230.070        ;0.000   ;0.000   ;0.000   
